CID,TRANSIENT_NAME,RA,DEC
1247653,DES13C2btic,55.245579,-29.419771
1247654,DES13C2bhez,53.911072,-28.961132
1247655,DES13C2bhdq,53.142490,-29.089985
1247658,DES13C2bhhk,54.683445,-28.765984
1247660,DES13C2amez,54.691746,-28.890587
1247661,DES13C2bhdr,53.373432,-29.133652
1247663,DES13C2bhht,54.762962,-28.764841
1247667,DES13C2bhdl,53.782089,-29.809273
1247668,DES13C2bhcx,54.681927,-29.275848
1247669,DES13C2bhdi,54.787514,-29.259760
1247671,DES13C2bhhd,53.830860,-28.436512
1247672,DES13C2bzj,54.035824,-28.449509
1247673,DES13C2bxd,54.510422,-29.157028
1247674,DES13C2bhir,54.565125,-29.095976
1247675,DES13C2bhis,54.643517,-29.096178
1247684,DES13C2bhij,55.254711,-28.599476
1247692,DES13C2bzh,54.220200,-29.598145
1247697,DES13C2bca,54.857529,-28.442785
1247698,DES13C2ehh,54.397663,-29.728174
1247699,DES13C2bhgq,54.308193,-28.274162
1247705,DES13C2bhie,55.117603,-28.435148
1247711,DES13C2bhfa,53.686775,-29.588350
1247716,DES13C2bbad,55.221172,-29.208639
1247719,DES13C2bhdm,55.294746,-29.189097
1247722,DES13C2bhct,55.303677,-29.196917
1247724,DES13C2hti,54.354431,-29.281673
1247725,DES13C2atgv,53.635243,-28.860546
1247729,DES13C2bhds,53.756348,-28.766361
1247730,DES13C2bhhp,53.982842,-29.964737
1247731,DES13C2hiu,53.765278,-28.774031
1247733,DES13C2bhdt,53.778332,-28.766510
1247737,DES13C2bhdu,53.900623,-28.765299
1247738,DES13C2bhet,54.350540,-28.764843
1247739,DES13C2bhdv,53.873085,-28.766417
1247742,DES13C2bhgd,54.413044,-28.765152
1247748,DES13C2bhhy,54.417973,-29.498381
1247751,DES13C2byx,53.776138,-28.401388
1247757,DES13C2bhee,53.958099,-28.601717
1247759,DES13C2bhhz,54.080429,-28.601551
1247761,DES13C2btig,54.725201,-28.410252
1247763,DES13C2bhef,54.133682,-28.650623
1247766,DES13C2egx,53.264507,-28.969729
1247767,DES13C3dgt,53.778957,-28.202318
1247775,DES13C2btih,54.099396,-28.273338
1247777,DES13C2btii,54.140816,-28.272730
1247778,DES13C2bbbu,53.974617,-28.231405
1247781,DES13C2bhfb,54.325245,-29.753592
1247782,DES13C2bheh,54.330139,-29.826231
1247783,DES13C2bhfr,54.333798,-29.752989
1247785,DES13C2bhgf,54.484051,-29.754044
1247786,DES13C2bza,54.488651,-29.827499
1247787,DES13C2bhfs,54.512634,-29.752791
1247789,DES13C2bhej,54.621906,-29.798821
1247796,DES13C2bhfm,54.044224,-29.096947
1247797,DES13C2vd,54.064812,-29.160456
1247798,DES13C2adn,54.863388,-29.195051
1247801,DES13C2acd,54.304112,-28.693485
1247804,DES13C2aco,55.025272,-29.136993
1247806,DES13C2btij,54.410755,-28.637869
1247807,DES13C2bhgg,54.446564,-28.601999
1247818,DES13C2bhhj,54.265984,-29.095322
1247819,DES13C2bhgm,54.289253,-29.095730
1247824,DES13X2auae,36.338181,-6.851117
1247826,DES13X2bkce,36.218823,-6.159107
1247828,DES13X2bkbc,35.032337,-6.313057
1247831,DES13X2cvg,35.085381,-6.300390
1247832,DES13X2bkfv,35.849442,-7.022451
1247839,DES13X2bkcb,35.589653,-6.763696
1247845,DES13X2xxr,35.935669,-6.677530
1247851,DES13X2esr,36.378017,-6.669009
1247854,DES13X2alv,35.380158,-6.964678
1247855,DES13X2btik,36.531563,-6.612092
1247857,DES13X2alw,35.480114,-6.931184
1247863,DES13X2bkbg,35.664719,-5.846459
1247865,DES13X2btil,35.751152,-5.763105
1247866,DES13X2auaq,35.788273,-5.888749
1247869,DES13X2anh,35.096806,-5.674447
1247873,DES13X2btim,35.206421,-5.625338
1247874,DES13X2bkae,36.090176,-6.684198
1247875,DES13X2bkcf,35.537678,-6.503682
1247878,DES13X2etf,36.159638,-6.598515
1247880,DES13X2bjzn,36.121922,-5.652713
1247885,DES13X2amn,35.776199,-6.537346
1247887,DES13X2pkq,35.309986,-5.540339
1247888,DES13X2bjzw,36.251064,-6.700066
1247890,DES13X2bkgg,36.317780,-6.174250
1247891,DES13X2ppm,35.352905,-5.550829
1247894,DES13X2cwe,36.469441,-6.175200
1247898,DES13X2bkai,36.261002,-6.893516
1247902,DES13X2anf,35.836533,-5.709353
1247904,DES13X2eti,35.714119,-7.088433
1247911,DES13X2cvf,35.278118,-7.376315
1247913,DES13X2bkar,35.861855,-7.209518
1247920,DES13X2ampu,35.346703,-7.254157
1247921,DES13X2bkfw,35.429058,-7.367456
1247922,DES13X2bkfz,35.473694,-7.386569
1247925,DES13X2bkdu,35.850582,-5.785363
1247930,DES13X2crr,35.952587,-5.895809
1247936,DES13X2gds,35.514328,-5.703503
1247945,DES13X2bkaf,35.832539,-6.038762
1247949,DES15X2apy,36.189106,-6.932436
1247950,DES13X2bjzg,36.195080,-7.042914
1247962,DES13X2bjzs,36.298180,-7.041075
1247965,DES13X2any,36.312286,-6.991153
1247967,DES13X2aoj,35.104858,-5.873721
1247968,DES13X2btio,36.343765,-6.979080
1247970,DES13X2bjzu,36.388981,-6.988162
1247971,DES13X2btin,35.056137,-6.017141
1247974,DES13X2bkaz,35.213612,-5.954269
1247983,DES13X2bkcd,36.005859,-6.004016
1247986,DES13X2aqu,36.119473,-6.033591
1247989,DES15X2apx,35.735565,-6.861112
1247990,DES13X2aqv,36.269001,-5.955967
1247991,DES13X2esq,35.959530,-6.880898
1247998,DES13X2alq,36.016766,-6.354125
1248003,DES13X2bkbs,36.097527,-7.107834
1248005,DES13X2okp,36.150112,-7.127099
1248006,DES13X2bkcn,36.087700,-6.302887
1248008,DES13X2ora,35.455261,-6.359329
1248013,DES13X2bkej,36.333035,-5.803503
1248015,DES13X2bkbh,34.784344,-6.805284
1248019,DES13X2baph,34.795345,-6.890537
1248020,DES13X2btip,35.090942,-6.723616
1248028,DES13X2djy,35.221420,-6.112619
1248031,DES13X2azdx,34.893452,-6.856056
1248032,DES13X2est,34.937176,-6.857144
1248035,DES13X2aufu,35.006413,-6.869651
1248039,DES13X2bws,34.858139,-6.177352
1248041,DES13X2bwt,35.023830,-6.171813
1248045,DES13X2bkap,35.177185,-6.807245
1248050,DES13X2eix,35.390553,-6.661218
1248052,DES13X2djv,35.280079,-5.810906
1248054,DES13X2eqp,35.522377,-6.588693
1248065,DES13X2apx,35.592472,-6.047813
1248071,DES13X2bkaa,34.922154,-5.929511
1248078,DES13X2bkbr,35.140236,-6.483470
1248082,DES13X2bkad,34.846890,-6.283134
1248084,DES13X3pa,36.337151,-5.321758
