CID	FLAG
1251839 1
1252264 1
1252293 1
1252148 5
1252176 1
1252188 1
1252222 0
1252468 1
1252492 1
1252522 1
1252524 1
1252525 0
1251589 1
1251596 1
1251720 4
1252495 1
1252528 0
1252704 1
1252705 1
1251557 5
1251588 0
1251622 1
1251747 1
1252005 4
1252620 1
1252733 1
1252736 7
1252738 0
1252764 1
1252814 1
1252910 5
1253137 1
1253151 1
1253474 1
1251582 5
1251587 1
1251628 1
1251751 1
1251753 1
1251754 1
1252024 1
1252032 3
1252162 1
1252593 0
1252741 1
1252939 1
1253026 1
1253029 1
1253031 0
1253039 1
1252756 5
1252777 1
1253286 1
1253410 4
1253411 3
1253416 1
1253662 1
1253704 1
1253731 1
1252058 0
1252183 1
1252267 5
1252313 1
1252824 1
1252829 1
1252831 1
1252835 0
1252961 1
1253789 1
1253863 1
1251585 3
1251975 1
1253044 1
1253070 1
1253475 1
1253491 5
1253492 5
1253530 1
1253546 1
1253653 1
1253702 1
1253716 1
1253871 1
1251583 5
1252752 0
1252754 1
1252769 1
1252926 1
1253227 0
1253359 1
1253690 1
1253748 5
1253765 1
1253847 1
1251930 7
1252251 1
1252252 1
1252342 1
1252442 4
1253937 1
1253972 1
1254713 1
1254729 1
1254762 1
1252093 1
1252839 0
1252894 1
1253309 5
1253358 1
1253518 1
1253725 1
1253814 1
1252360 1
1251954 5
1252027 1
1252028 1
1252043 1
1252533 1
1253005 1
1253191 1
1253640 4
1253652 0
1251866 0
1251928 0
1252177 1
1252178 5
1252502 1
1252712 1
1252713 3
1253180 1
1253832 0
1253856 1
1252254 0
1252137 1
1252256 0
1252268 1
1252579 1
1253417 1
1253429 7
1252650 1
1252661 1
1252662 1
1252859 1
1253343 5
1253463 0
1253774 1
1252142 1
1252304 0
1252810 1
1253578 1
1253590 1
1253595 5
1252325 1
1252443 1
1253043 2
1253337 1
1253816 1
1253840 1
1252033 1
1252034 1
1252059 1
1252060 1
1252061 1
1252512 1
1252513 1
1252941 1
1253168 1
1253181 1
1253378 1
1253379 1
1253883 0
1253954 1
1254019 0
1254050 1
1254052 1
1254058 1
1254060 0
1254062 1
1252112 0
1253971 1
1253975 0
1254039 0
1254066 0
1254067 1
1254069 0
1254070 1
1254072 0
1254076 1
1254077 5
1254108 1
1254175 1
1254178 5
1254192 1
1252959 1
1253924 1
1252900 1
1253025 1
1253556 5
1253951 1
1252565 4
1252708 1
1253068 1
1254240 1
1254268 4
1254280 0
1254387 0
1252303 5
1252457 1
1253071 5
1253074 1
1253933 1
1254046 5
1254048 0
1254376 1
1252558 1
1252560 1
1252801 1
1252953 1
1252976 1
1253469 4
1253471 0
1253540 1
1253597 0
1253705 0
1253715 0
1252169 1
1252250 0
1252462 1
1252481 1
1252483 1
1252551 1
1252567 1
1252587 1
1252588 1
1252794 1
1253109 1
1253360 1
1253983 1
1252225 1
1252639 1
1252732 0
1253021 1
1253235 0
1253236 5
1253746 1
1253916 1
1253920 1
1253939 1
1253947 1
1254202 1
1252129 1
1252485 5
1253003 0
1253010 0
1253116 5
1253206 1
1253569 1
1252089 1
1252091 1
1252218 1
1252454 1
1252464 1
1252546 0
1252548 1
1252199 1
1252235 6
1252236 1
1252237 1
1252240 1
1252595 1
1252598 1
1252665 1
1253083 0
1253086 1
1253932 1
1253997 1
1254164 1
1252030 1
1252035 0
1252128 1
1252768 5
1252242 1
1252743 1
1252765 1
1252855 5
1252989 1
1252990 1
1253009 1
1253334 1
1253572 1
1253688 1
1253835 1
1252791 1
1253363 0
1253366 5
1253409 5
1253558 1
1253609 0
1253769 0
1288711 5
1253084 1
1253087 1
1253374 1
1253878 0
1253880 1
1253980 1
1253990 4
1253991 5
1253992 5
1252986 5
1252987 0
1253131 1
1253354 1
1253355 1
1253356 0
1253970 1
1254031 0
1254078 1
1254188 5
1252968 1
1252970 1
1253046 1
1253243 1
1253394 1
1253562 1
1253577 1
1253593 1
1253794 0
1254124 1
1254622 1
1254623 1
1254644 1
1254691 1
1254746 1
1254806 1
1254846 1
1252790 1
1253482 1
1253513 1
1253524 1
1253913 1
1253915 1
1254350 1
1254351 1
1254415 1
1252761 5
1252923 5
1252820 1
1252822 1
1253004 1
1253452 1
1253453 5
1253739 1
1254665 1
1254222 1
1254435 1
1254490 1
1254666 1
1254669 0
1254670 1
1252751 1
1253764 1
1254000 1
1254294 1
1254406 1
1254407 1
1254426 1
1254779 1
1253345 1
1254397 0
1257524 5
1259239 7
1260273 5
1262727 1
1265280 1
1253539 5
1257072 1
1257102 1
1257375 1
1257750 1
1257869 5
1260931 1
1253119 1
1253260 1
1254148 0
1255726 1
1256352 1
1256540 1
1258358 1
1258366 1
1258368 1
1259686 1
1260552 1
1260553 1
1252917 1
1253245 1
1254150 1
1254911 1
1254961 1
1254969 1
1253148 1
1254009 1
1254012 1
1254311 0
1254485 1
1255376 1
1256321 0
1257122 1
1258891 0
1258892 0
1261909 1
1262366 1
1254104 0
1254767 1
1256184 1
1256230 5
1258303 0
1259231 1
1259633 0
1260709 5
1252836 1
1253703 1
1255174 5
1255501 1
1255585 0
1255592 5
1255949 1
1257451 1
1259561 1
1262078 1
1255558 1
1255561 1
1255672 5
1257256 1
1261039 1
1263794 1
1265326 1
1255580 5
1255999 4
1259104 1
1262739 1
1262754 1
1272866 0
1264423 1
1264545 1
1266235 0
1266306 0
1267653 1
1253761 1
1254287 4
1254555 5
1254778 1
1254828 1
1260301 1
1260304 1
1261338 4
1262798 1
1263239 1
1263242 1
1263308 1
1252920 1
1253622 0
1259246 1
1259868 1
1259934 1
1259935 1
1260000 1
1260391 1
1262062 1
1253263 0
1256120 0
1256121 0
1256829 1
1256921 1
1259917 1
1261784 1
1253974 1
1254103 1
1254134 0
1255389 1
1256143 1
1257602 1
1259034 0
1259330 1
1261579 1
1254993 1
1256090 5
1258228 1
1258231 1
1258234 1
1262558 1
1263758 0
1271297 1
1253978 1
1254896 1
1256535 1
1256536 1
1256791 0
1255310 1
1255975 1
1259944 1
1261539 1
1254408 1
1255957 1
1258002 0
1259918 1
1263856 1
1261998 5
1262794 1
1265520 1
1267535 5
1256097 1
1259169 1
1264539 1
1266337 1
1266975 1
1257144 1
1258450 1
1262529 1
1262862 1
1262899 2
1263255 1
1263331 1
1254398 5
1255266 1
1255268 0
1255408 1
1265463 1
1265843 1
1266031 1
1266041 1
1266046 1
1266047 1
1256329 1
1256335 1
1257895 1
1260261 1
1263943 1
1267515 1
1254349 0
1254759 1
1259650 5
1261414 1
1265017 0
1265020 0
1274222 1
1274223 1
1257367 1
1257368 1
1262782 1
1263683 5
1263935 5
1264035 1
1264038 1
1264606 1
1259132 1
1261728 1
1274251 0
1264974 1
1274256 0
1274260 1
1274263 4
1266777 1
1266929 1
1274740 0
1256764 1
1258024 1
1258027 1
1258222 1
1266965 1
1264353 5
1264689 1
1266405 5
1273327 5
1273841 3
1273914 0
1255532 1
1256661 1
1262121 3
1265169 1
1265281 1
1265451 1
1265478 1
1265571 1
1255407 1
1257533 1
1262613 1
1273112 4
1266808 1
1273257 5
1273466 1
1273471 4
1274026 0
1274140 1
1274142 1
